,Iteration,Parameter,ESS
89,8900,Log std. myokit.volume,1.3557099303782996
90,9000,Log std. myokit.volume,1.3715271067259431
91,9100,Log std. myokit.volume,1.3808915937822066
92,9200,Log std. myokit.volume,1.394114379351948
93,9300,Log std. myokit.volume,1.404853557898602
94,9400,Log std. myokit.volume,1.3995795130389044
95,9500,Log std. myokit.volume,1.4042035089223808
96,9600,Log std. myokit.volume,1.405263538801527
97,9700,Log std. myokit.volume,1.4047959687083915
98,9800,Log std. myokit.volume,1.4138110110443642
99,9900,Log std. myokit.volume,1.4108004958129612
0,0,myokit.volumeID 1,0.0
1,100,myokit.volumeID 1,0.0
2,200,myokit.volumeID 1,0.0
3,300,myokit.volumeID 1,0.0
4,400,myokit.volumeID 1,0.0
5,500,myokit.volumeID 1,0.0
6,600,myokit.volumeID 1,3.41358134004198
7,700,myokit.volumeID 1,15.524453925008537
8,800,myokit.volumeID 1,1.911003740825293
9,900,myokit.volumeID 1,6.725239682782825
10,1000,myokit.volumeID 1,13.571427612678992
11,1100,myokit.volumeID 1,4.288200227346458
12,1200,myokit.volumeID 1,2.1355550029084687
13,1300,myokit.volumeID 1,1.6670484464078557
14,1400,myokit.volumeID 1,1.3353078253969142
15,1500,myokit.volumeID 1,1.5245750778927882
16,1600,myokit.volumeID 1,2.0237039661289296
17,1700,myokit.volumeID 1,2.202633885631314
18,1800,myokit.volumeID 1,2.0504510115056727
19,1900,myokit.volumeID 1,1.905964995939459
20,2000,myokit.volumeID 1,1.8232204991772707
21,2100,myokit.volumeID 1,1.7245684299091912
22,2200,myokit.volumeID 1,1.6662928230156473
23,2300,myokit.volumeID 1,1.5919485929916903
24,2400,myokit.volumeID 1,1.5575992247075907
25,2500,myokit.volumeID 1,1.664385307210786
26,2600,myokit.volumeID 1,1.7086654966341117
27,2700,myokit.volumeID 1,1.7430804278987018
28,2800,myokit.volumeID 1,1.6669167532688463
29,2900,myokit.volumeID 1,1.8111492698325817
30,3000,myokit.volumeID 1,1.9960188715586102
31,3100,myokit.volumeID 1,2.187419397587885
32,3200,myokit.volumeID 1,2.325304694012608
33,3300,myokit.volumeID 1,2.713127648797024
34,3400,myokit.volumeID 1,2.9505625927115084
35,3500,myokit.volumeID 1,3.410276714363958
36,3600,myokit.volumeID 1,3.6475556625647365
37,3700,myokit.volumeID 1,4.64954361399823
38,3800,myokit.volumeID 1,5.495628320363013
39,3900,myokit.volumeID 1,6.473053843284108
40,4000,myokit.volumeID 1,7.445787055876821
41,4100,myokit.volumeID 1,7.752806742160285
42,4200,myokit.volumeID 1,7.9043545266398105
43,4300,myokit.volumeID 1,8.097554567444075
44,4400,myokit.volumeID 1,8.156665385493554
45,4500,myokit.volumeID 1,7.815103753016123
46,4600,myokit.volumeID 1,6.388642101835481
47,4700,myokit.volumeID 1,4.515021112448234
48,4800,myokit.volumeID 1,3.6456783107223734
49,4900,myokit.volumeID 1,3.1666526680439766
50,5000,myokit.volumeID 1,2.8497891595234934
51,5100,myokit.volumeID 1,2.6612805752596294
52,5200,myokit.volumeID 1,2.4487053366905065
53,5300,myokit.volumeID 1,2.292247594914222
54,5400,myokit.volumeID 1,2.2502555354268994
55,5500,myokit.volumeID 1,2.2035332659583093
56,5600,myokit.volumeID 1,2.1494724306409854
57,5700,myokit.volumeID 1,2.0833693027697087
58,5800,myokit.volumeID 1,2.0365480231709707
59,5900,myokit.volumeID 1,1.9987485632285855
60,6000,myokit.volumeID 1,1.9365811757917326
61,6100,myokit.volumeID 1,1.9001560625855098
62,6200,myokit.volumeID 1,1.8448279025629148
63,6300,myokit.volumeID 1,1.806316159649663
64,6400,myokit.volumeID 1,1.748109415112063
65,6500,myokit.volumeID 1,1.7086117123234177
66,6600,myokit.volumeID 1,1.6747328867237987
67,6700,myokit.volumeID 1,1.6529677606578375
68,6800,myokit.volumeID 1,1.5955750984644643
69,6900,myokit.volumeID 1,1.5703066507372276
70,7000,myokit.volumeID 1,1.54329783545748
71,7100,myokit.volumeID 1,1.5197946259017578
72,7200,myokit.volumeID 1,1.4981991454913604
73,7300,myokit.volumeID 1,1.4814779885227747
74,7400,myokit.volumeID 1,1.4626863117309459
75,7500,myokit.volumeID 1,1.434063659434763
76,7600,myokit.volumeID 1,1.4156589063660558
77,7700,myokit.volumeID 1,1.400378288766342
78,7800,myokit.volumeID 1,1.3835576405619678
79,7900,myokit.volumeID 1,1.3617578329330737
80,8000,myokit.volumeID 1,1.3420843882389382
81,8100,myokit.volumeID 1,1.3224223927468022
82,8200,myokit.volumeID 1,1.3165812972959297
83,8300,myokit.volumeID 1,1.3077432752771319
84,8400,myokit.volumeID 1,1.2990348198496247
85,8500,myokit.volumeID 1,1.2976818235797096
86,8600,myokit.volumeID 1,1.2977613919273574
87,8700,myokit.volumeID 1,1.2984780854829607
88,8800,myokit.volumeID 1,1.297576665115759
89,8900,myokit.volumeID 1,1.2970388715169332
90,9000,myokit.volumeID 1,1.295436570923664
91,9100,myokit.volumeID 1,1.298327136259539
92,9200,myokit.volumeID 1,1.304767555242141
93,9300,myokit.volumeID 1,1.3134725422100992
94,9400,myokit.volumeID 1,1.3190209563791178
95,9500,myokit.volumeID 1,1.3239117973904668
96,9600,myokit.volumeID 1,1.328254603395092
97,9700,myokit.volumeID 1,1.3331354222919825
98,9800,myokit.volumeID 1,1.3350778093045648
99,9900,myokit.volumeID 1,1.3391429474225474
0,0,myokit.volumeID 2,0.0
1,100,myokit.volumeID 2,0.0
2,200,myokit.volumeID 2,0.0
3,300,myokit.volumeID 2,0.0
4,400,myokit.volumeID 2,0.0
5,500,myokit.volumeID 2,0.0
6,600,myokit.volumeID 2,4.582893884175876
7,700,myokit.volumeID 2,18.51664218557223
8,800,myokit.volumeID 2,3.27409864636127
9,900,myokit.volumeID 2,22.866712646548226
10,1000,myokit.volumeID 2,11.419382241367225
11,1100,myokit.volumeID 2,2.7634547608335236
12,1200,myokit.volumeID 2,1.8031863599371447
13,1300,myokit.volumeID 2,1.5203529942244416
14,1400,myokit.volumeID 2,1.3309741362796361
15,1500,myokit.volumeID 2,1.3957966739134096
16,1600,myokit.volumeID 2,1.6393770150837506
17,1700,myokit.volumeID 2,1.916982247445938
18,1800,myokit.volumeID 2,2.5079670314538647
19,1900,myokit.volumeID 2,3.145466381797307
20,2000,myokit.volumeID 2,4.139401814411699
21,2100,myokit.volumeID 2,6.073144574184232
22,2200,myokit.volumeID 2,6.692653252845998
23,2300,myokit.volumeID 2,6.800075151592578
24,2400,myokit.volumeID 2,6.130481255587594
25,2500,myokit.volumeID 2,5.342750588141205
26,2600,myokit.volumeID 2,4.307071781854914
27,2700,myokit.volumeID 2,3.7256299785392932
28,2800,myokit.volumeID 2,3.156474555809777
29,2900,myokit.volumeID 2,2.7384431794261506
30,3000,myokit.volumeID 2,2.417793414700164
31,3100,myokit.volumeID 2,2.163063642024655
32,3200,myokit.volumeID 2,1.9062147177771684
33,3300,myokit.volumeID 2,1.823776582558282
34,3400,myokit.volumeID 2,1.7007529876838883
35,3500,myokit.volumeID 2,1.598862003914274
36,3600,myokit.volumeID 2,1.4944510642384092
37,3700,myokit.volumeID 2,1.414721605036448
38,3800,myokit.volumeID 2,1.355116208497474
39,3900,myokit.volumeID 2,1.330066791898841
40,4000,myokit.volumeID 2,1.3200297964466985
41,4100,myokit.volumeID 2,1.3431745830490762
42,4200,myokit.volumeID 2,1.3673523763964286
43,4300,myokit.volumeID 2,1.393368855786655
44,4400,myokit.volumeID 2,1.399402376822942
45,4500,myokit.volumeID 2,1.3986070398928454
46,4600,myokit.volumeID 2,1.4101395500526774
47,4700,myokit.volumeID 2,1.4224963658054155
48,4800,myokit.volumeID 2,1.411686051156551
49,4900,myokit.volumeID 2,1.4186140628071164
50,5000,myokit.volumeID 2,1.4108680471873873
51,5100,myokit.volumeID 2,1.4076369654016951
52,5200,myokit.volumeID 2,1.4034102059296554
53,5300,myokit.volumeID 2,1.399209635571614
54,5400,myokit.volumeID 2,1.4051345140806852
55,5500,myokit.volumeID 2,1.4147886299460863
56,5600,myokit.volumeID 2,1.4304874789744046
57,5700,myokit.volumeID 2,1.432369916712387
58,5800,myokit.volumeID 2,1.4462254390596099
59,5900,myokit.volumeID 2,1.4517902834034007
60,6000,myokit.volumeID 2,1.44636094769433
61,6100,myokit.volumeID 2,1.45146061279144
62,6200,myokit.volumeID 2,1.4514303615809236
63,6300,myokit.volumeID 2,1.4524529399322565
64,6400,myokit.volumeID 2,1.4447947361002798
65,6500,myokit.volumeID 2,1.4855520325120717
66,6600,myokit.volumeID 2,1.5611155030990296
67,6700,myokit.volumeID 2,1.6878285708180905
68,6800,myokit.volumeID 2,1.8517556857743431
69,6900,myokit.volumeID 2,2.0234820876247928
70,7000,myokit.volumeID 2,2.195845472278589
71,7100,myokit.volumeID 2,2.406168661043764
72,7200,myokit.volumeID 2,2.678594519986656
73,7300,myokit.volumeID 2,3.0091937762329763
74,7400,myokit.volumeID 2,3.395333259835897
75,7500,myokit.volumeID 2,3.8591816460525172
76,7600,myokit.volumeID 2,4.533438779525051
77,7700,myokit.volumeID 2,5.18770653402354
78,7800,myokit.volumeID 2,5.52095906183885
79,7900,myokit.volumeID 2,5.650812938672828
80,8000,myokit.volumeID 2,5.7507040260220865
81,8100,myokit.volumeID 2,5.817798305700664
82,8200,myokit.volumeID 2,5.8887889605323505
83,8300,myokit.volumeID 2,5.961217285764629
84,8400,myokit.volumeID 2,6.076838987987288
85,8500,myokit.volumeID 2,6.220773644542298
86,8600,myokit.volumeID 2,6.373089762854549
87,8700,myokit.volumeID 2,6.5517666701158035
88,8800,myokit.volumeID 2,6.744415441452015
89,8900,myokit.volumeID 2,6.955459234910655
90,9000,myokit.volumeID 2,7.168903074587113
91,9100,myokit.volumeID 2,7.392887669873508
92,9200,myokit.volumeID 2,7.684170692494297
93,9300,myokit.volumeID 2,7.9979362133031815
94,9400,myokit.volumeID 2,8.202172911431674
95,9500,myokit.volumeID 2,8.418976386637139
96,9600,myokit.volumeID 2,8.619189128105349
97,9700,myokit.volumeID 2,8.784932635385282
98,9800,myokit.volumeID 2,8.87252380993392
99,9900,myokit.volumeID 2,8.871188871076285
