INR,VKORC1 G alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,Age,Dose
0.8383383,0.5,0.5,0.5,50.0,24.0
0.8448448,0.5,0.5,0.5,50.0,24.0
0.8513514,0.5,0.5,0.5,50.0,24.0
0.8578579,0.5,0.5,0.5,50.0,24.0
0.8643644,0.5,0.5,0.5,50.0,24.0
0.8708709,0.5,0.5,0.5,50.0,24.0
0.8773774,0.5,0.5,0.5,50.0,24.0
0.8838839,0.5,0.5,0.5,50.0,24.0
0.8903904,0.5,0.5,0.5,50.0,24.0
0.8968969,0.5,0.5,0.5,50.0,24.0
0.9034034,0.5,0.5,0.5,50.0,24.0
0.9099099,0.5,0.5,0.5,50.0,24.0
0.9164164,0.5,0.5,0.5,50.0,24.0
0.9229229,0.5,0.5,0.5,50.0,24.0
0.9294294,0.5,0.5,0.5,50.0,24.0
0.9359359,0.5,0.5,0.5,50.0,24.0
0.9424424,0.5,0.5,0.5,50.0,24.0
0.9489489,0.5,0.5,0.5,50.0,24.0
0.9554555,0.5,0.5,0.5,50.0,24.0
0.961962,0.5,0.5,0.5,50.0,24.0
0.9684685,0.5,0.5,0.5,50.0,24.0
0.974975,0.5,0.5,0.5,50.0,24.0
0.9814815,0.5,0.5,0.5,50.0,24.0
0.987988,0.5,0.5,0.5,50.0,24.0
0.9944945,0.5,0.5,0.5,50.0,24.0
1.001001,0.5,0.5,0.5,50.0,24.0
1.0075076,0.5,0.5,0.5,50.0,24.0
1.014014,0.5,0.5,0.5,50.0,24.0
1.0205206,0.5,0.5,0.5,50.0,24.0
1.027027,0.5,0.5,0.5,50.0,24.0
1.0335336,0.5,0.5,0.5,50.0,24.0
1.04004,0.5,0.5,0.5,50.0,24.0
1.0465466,0.5,0.5,0.5,50.0,24.0
1.053053,0.5,0.5,0.5,50.0,24.0
1.0595596,0.5,0.5,0.5,50.0,24.0
1.066066,0.5,0.5,0.5,50.0,24.0
1.0725726,0.5,0.5,0.5,50.0,24.0
1.079079,0.5,0.5,0.5,50.0,24.0
1.0855856,0.5,0.5,0.5,50.0,24.0
1.092092,0.5,0.5,0.5,50.0,24.0
1.0985986,0.5,0.5,0.5,50.0,24.0
1.1051052,0.5,0.5,0.5,50.0,24.0
1.1116116,0.5,0.5,0.5,50.0,24.0
1.1181182,0.5,0.5,0.5,50.0,24.0
1.1246246,0.5,0.5,0.5,50.0,24.0
1.1311312,0.5,0.5,0.5,50.0,24.0
1.1376376,0.5,0.5,0.5,50.0,24.0
1.1441442,0.5,0.5,0.5,50.0,24.0
1.1506506,0.5,0.5,0.5,50.0,24.0
1.1571572,0.5,0.5,0.5,50.0,24.0
1.1636636,0.5,0.5,0.5,50.0,24.0
1.1701702,0.5,0.5,0.5,50.0,24.0
1.1766766,0.5,0.5,0.5,50.0,24.0
1.1831832,0.5,0.5,0.5,50.0,24.0
1.1896896,0.5,0.5,0.5,50.0,24.0
1.1961962,0.5,0.5,0.5,50.0,24.0
1.2027028,0.5,0.5,0.5,50.0,24.0
1.2092092,0.5,0.5,0.5,50.0,24.0
1.2157158,0.5,0.5,0.5,50.0,24.0
1.2222222,0.5,0.5,0.5,50.0,24.0
1.2287288,0.5,0.5,0.5,50.0,24.0
1.2352352,0.5,0.5,0.5,50.0,24.0
1.2417418,0.5,0.5,0.5,50.0,24.0
1.2482482,0.5,0.5,0.5,50.0,24.0
1.2547548,0.5,0.5,0.5,50.0,24.0
1.2612612,0.5,0.5,0.5,50.0,24.0
1.2677678,0.5,0.5,0.5,50.0,24.0
