INR,VKORC1 G alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,Age,Dose
1.4064064,1.0,0.5,0.5,50.0,21.5
1.40991,1.0,0.5,0.5,50.0,21.5
1.4134134,1.0,0.5,0.5,50.0,21.5
1.416917,1.0,0.5,0.5,50.0,21.5
1.4204204,1.0,0.5,0.5,50.0,21.5
1.423924,1.0,0.5,0.5,50.0,21.5
1.4274274,1.0,0.5,0.5,50.0,21.5
1.430931,1.0,0.5,0.5,50.0,21.5
1.4344344,1.0,0.5,0.5,50.0,21.5
1.437938,1.0,0.5,0.5,50.0,21.5
1.4414414,1.0,0.5,0.5,50.0,21.5
1.444945,1.0,0.5,0.5,50.0,21.5
1.4484484,1.0,0.5,0.5,50.0,21.5
1.451952,1.0,0.5,0.5,50.0,21.5
1.4554554,1.0,0.5,0.5,50.0,21.5
1.458959,1.0,0.5,0.5,50.0,17.5
1.4624624,1.0,0.5,0.5,50.0,17.5
1.465966,1.0,0.5,0.5,50.0,17.5
1.4694694,1.0,0.5,0.5,50.0,17.5
1.472973,1.0,0.5,0.5,50.0,17.5
1.4764764,1.0,0.5,0.5,50.0,17.5
1.47998,1.0,0.5,0.5,50.0,17.5
1.4834834,1.0,0.5,0.5,50.0,17.5
1.486987,1.0,0.5,0.5,50.0,17.5
1.4904904,1.0,0.5,0.5,50.0,17.5
1.493994,1.0,0.5,0.5,50.0,17.5
1.4974974,1.0,0.5,0.5,50.0,17.5
1.501001,1.0,0.5,0.5,50.0,17.5
1.5045046,1.0,0.5,0.5,50.0,17.5
1.508008,1.0,0.5,0.5,50.0,17.5
1.5115116,1.0,0.5,0.5,50.0,17.5
1.515015,1.0,0.5,0.5,50.0,17.5
1.5185186,1.0,0.5,0.5,50.0,17.5
1.522022,1.0,0.5,0.5,50.0,17.5
1.5255256,1.0,0.5,0.5,50.0,17.5
1.529029,1.0,0.5,0.5,50.0,17.5
1.5325326,1.0,0.5,0.5,50.0,17.5
1.536036,1.0,0.5,0.5,50.0,17.5
1.5395396,1.0,0.5,0.5,50.0,17.5
1.543043,1.0,0.5,0.5,50.0,17.5
1.5465466,1.0,0.5,0.5,50.0,17.5
1.55005,1.0,0.5,0.5,50.0,17.5
1.5535536,1.0,0.5,0.5,50.0,17.5
1.557057,1.0,0.5,0.5,50.0,17.5
1.5605606,1.0,0.5,0.5,50.0,17.5
1.564064,1.0,0.5,0.5,50.0,17.5
1.5675676,1.0,0.5,0.5,50.0,17.5
1.571071,1.0,0.5,0.5,50.0,17.5
1.5745746,1.0,0.5,0.5,50.0,17.5
1.578078,1.0,0.5,0.5,50.0,17.5
1.5815816,1.0,0.5,0.5,50.0,17.5
1.585085,1.0,0.5,0.5,50.0,17.5
1.5885886,1.0,0.5,0.5,50.0,17.5
1.592092,1.0,0.5,0.5,50.0,17.5
1.5955956,1.0,0.5,0.5,50.0,17.5
1.599099,1.0,0.5,0.5,50.0,17.5
1.6026026,1.0,0.5,0.5,50.0,17.5
1.6061062,1.0,0.5,0.5,50.0,17.5
1.6096096,1.0,0.5,0.5,50.0,17.5
1.6131132,1.0,0.5,0.5,50.0,17.5
1.6166166,1.0,0.5,0.5,50.0,17.5
1.6201202,1.0,0.5,0.5,50.0,17.5
1.6236236,1.0,0.5,0.5,50.0,17.5
1.6271272,1.0,0.5,0.5,50.0,17.5
1.6306306,1.0,0.5,0.5,50.0,17.5
1.6341342,1.0,0.5,0.5,50.0,17.5
1.6376376,1.0,0.5,0.5,50.0,17.5
1.6411412,1.0,0.5,0.5,50.0,17.5
1.6446446,1.0,0.5,0.5,50.0,17.5
1.6481482,1.0,0.5,0.5,50.0,17.5
1.6516516,1.0,0.5,0.5,50.0,17.5
1.6551552,1.0,0.5,0.5,50.0,17.5
1.6586586,1.0,0.5,0.5,50.0,17.5
1.6621622,1.0,0.5,0.5,50.0,17.5
1.6656656,1.0,0.5,0.5,50.0,17.5
1.6691692,1.0,0.5,0.5,50.0,17.5
1.6726726,1.0,0.5,0.5,50.0,17.5
1.6761762,1.0,0.5,0.5,50.0,17.5
1.6796796,1.0,0.5,0.5,50.0,17.5
1.6831832,1.0,0.5,0.5,50.0,17.5
1.6866866,1.0,0.5,0.5,50.0,17.5
1.6901902,1.0,0.5,0.5,50.0,17.5
1.6936936,1.0,0.5,0.5,50.0,17.5
1.6971972,1.0,0.5,0.5,50.0,17.5
1.7007008,1.0,0.5,0.5,50.0,17.5
1.7042042,1.0,0.5,0.5,50.0,17.5
1.7077078,1.0,0.5,0.5,50.0,17.5
1.7112112,1.0,0.5,0.5,50.0,17.5
1.7147148,1.0,0.5,0.5,50.0,17.5
1.7182182,1.0,0.5,0.5,50.0,17.5
1.7217218,1.0,0.5,0.5,50.0,17.5
1.7252252,1.0,0.5,0.5,50.0,17.5
1.7287288,1.0,0.5,0.5,50.0,17.5
1.7322322,1.0,0.5,0.5,50.0,17.5
1.7357358,1.0,0.5,0.5,50.0,12.0
1.7392392,1.0,0.5,0.5,50.0,12.0
1.7427428,1.0,0.5,0.5,50.0,12.0
1.7462462,1.0,0.5,0.5,50.0,12.0
1.7497498,1.0,0.5,0.5,50.0,12.0
1.7532532,1.0,0.5,0.5,50.0,12.0
1.7567568,1.0,0.5,0.5,50.0,12.0
1.7602602,1.0,0.5,0.5,50.0,12.0
1.7637638,1.0,0.5,0.5,50.0,12.0
1.7672672,1.0,0.5,0.5,50.0,12.0
1.7707708,1.0,0.5,0.5,50.0,12.0
1.7742742,1.0,0.5,0.5,50.0,12.0
1.7777778,1.0,0.5,0.5,50.0,12.0
1.7812812,1.0,0.5,0.5,50.0,12.0
1.7847848,1.0,0.5,0.5,50.0,12.0
1.7882882,1.0,0.5,0.5,50.0,12.0
1.7917918,1.0,0.5,0.5,50.0,12.0
1.7952952,1.0,0.5,0.5,50.0,12.0
1.7987988,1.0,0.5,0.5,50.0,12.0
1.8023024,1.0,0.5,0.5,50.0,12.0
1.8058058,1.0,0.5,0.5,50.0,12.0
1.8093094,1.0,0.5,0.5,50.0,12.0
1.8128128,1.0,0.5,0.5,50.0,12.0
1.8163164,1.0,0.5,0.5,50.0,12.0
1.8198198,1.0,0.5,0.5,50.0,12.0
1.8233234,1.0,0.5,0.5,50.0,12.0
1.8268268,1.0,0.5,0.5,50.0,12.0
1.8303304,1.0,0.5,0.5,50.0,12.0
1.8338338,1.0,0.5,0.5,50.0,12.0
1.8373374,1.0,0.5,0.5,50.0,12.0
1.8408408,1.0,0.5,0.5,50.0,12.0
1.8443444,1.0,0.5,0.5,50.0,12.0
1.8478478,1.0,0.5,0.5,50.0,12.0
1.8513514,1.0,0.5,0.5,50.0,12.0
1.8548548,1.0,0.5,0.5,50.0,12.0
1.8583584,1.0,0.5,0.5,50.0,12.0
1.8618618,1.0,0.5,0.5,50.0,12.0
1.8653654,1.0,0.5,0.5,50.0,12.0
1.8688688,1.0,0.5,0.5,50.0,12.0
1.8723724,1.0,0.5,0.5,50.0,12.0
1.8758758,1.0,0.5,0.5,50.0,12.0
1.8793794,1.0,0.5,0.5,50.0,12.0
1.8828828,1.0,0.5,0.5,50.0,12.0
1.8863864,1.0,0.5,0.5,50.0,12.0
1.8898898,1.0,0.5,0.5,50.0,12.0
1.8933934,1.0,0.5,0.5,50.0,12.0
1.8968968,1.0,0.5,0.5,50.0,12.0
1.9004004,1.0,0.5,0.5,50.0,12.0
1.903904,1.0,0.5,0.5,50.0,12.0
1.9074074,1.0,0.5,0.5,50.0,12.0
1.910911,1.0,0.5,0.5,50.0,12.0
1.9144144,1.0,0.5,0.5,50.0,12.0
1.917918,1.0,0.5,0.5,50.0,12.0
1.9214214,1.0,0.5,0.5,50.0,12.0
1.924925,1.0,0.5,0.5,50.0,12.0
1.9284284,1.0,0.5,0.5,50.0,12.0
1.931932,1.0,0.5,0.5,50.0,12.0
1.9354354,1.0,0.5,0.5,50.0,12.0
1.938939,1.0,0.5,0.5,50.0,12.0
1.9424424,1.0,0.5,0.5,50.0,12.0
1.945946,1.0,0.5,0.5,50.0,12.0
1.9494494,1.0,0.5,0.5,50.0,12.0
1.952953,1.0,0.5,0.5,50.0,12.0
1.9564564,1.0,0.5,0.5,50.0,12.0
1.95996,1.0,0.5,0.5,50.0,12.0
1.9634634,1.0,0.5,0.5,50.0,12.0
1.966967,1.0,0.5,0.5,50.0,12.0
1.9704704,1.0,0.5,0.5,50.0,12.0
1.973974,1.0,0.5,0.5,50.0,12.0
1.9774774,1.0,0.5,0.5,50.0,12.0
1.980981,1.0,0.5,0.5,50.0,12.0
1.9844844,1.0,0.5,0.5,50.0,12.0
1.987988,1.0,0.5,0.5,50.0,12.0
1.9914914,1.0,0.5,0.5,50.0,12.0
1.994995,1.0,0.5,0.5,50.0,12.0
1.9984984,1.0,0.5,0.5,50.0,12.0
2.002002,1.0,0.5,0.5,50.0,12.0
2.0055056,1.0,0.5,0.5,50.0,12.0
2.0090091,1.0,0.5,0.5,50.0,12.0
2.0125124,1.0,0.5,0.5,50.0,12.0
2.016016,1.0,0.5,0.5,50.0,12.0
2.0195196,1.0,0.5,0.5,50.0,12.0
2.0230231,1.0,0.5,0.5,50.0,12.0
2.0265265,1.0,0.5,0.5,50.0,12.0
2.03003,1.0,0.5,0.5,50.0,12.0
2.0335336,1.0,0.5,0.5,50.0,12.0
2.0370371,1.0,0.5,0.5,50.0,12.0
2.0405405,1.0,0.5,0.5,50.0,12.0
2.044044,1.0,0.5,0.5,50.0,12.0
2.0475476,1.0,0.5,0.5,50.0,12.0
