INR,VKORC1 G alleles,VKORC1 A alleles,CYP2C9 1 alleles,CYP2C9 2 alleles,CYP2C9 3 alleles,Age,Dose
0.7342342,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7387387,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7432432,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7477477,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7522523,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7567568,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7612613,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7657658,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7702703,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7747748,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7792793,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7837838,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7882883,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7927928,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.7972973,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8018018,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8063063,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8108108,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8153153,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8198198,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8243243,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8288288,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8333333,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8378378,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8423423,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8468468,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8513514,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8558559,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8603604,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8648649,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8693694,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8738739,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8783784,1.0,0.0,1.0,0.0,0.0,71.0,11.5
0.8828829,1.0,0.0,1.0,0.0,0.0,71.0,11.5
